Date,Time,Period,Team,Move,Action Player,Away Team,Away Score,Home Team,Home Score,Away Lineup,Home Lineup
5/20/2018,01:09:41,1,ULK,23 Marko Guduric > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,MARKO GUDURIC,Fenerbahce Dogus Istanbul,0,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:41,1,ULK,44 Ahmet Duverioglu > P&R Roll Man > Rolls to Basket > Make 2 Pts,AHMET DUVERIOGLU,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:41,1,ULK,Shot > Ahmet Duverioglu > Any Type > 2 Point Attempt > Make 2 Pts,AHMET DUVERIOGLU,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:41,1,ULK,Misc Stat > Assist > Marko Guduric,MARKO GUDURIC,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:29,1,MAD,Personal Foul > Defensive - Any > Jan Vesely,JAN VESELY,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:29,1,MAD,9 Felipe Reyes > Non Possession > Non Shooting Foul,FELIPE REYES,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:18,1,MAD,11 Facundo Campazzo > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,FACUNDO CAMPAZZO,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:18,1,MAD,14 Gustavo Ayon > P&R Roll Man > Pick and Pops > Drives Straight > To Basket > Miss 2 Pts,GUSTAVO AYON,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:18,1,MAD,Shot > Gustavo Ayon > Any Type > 2 Point Attempt > Miss 2 Pts,GUSTAVO AYON,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
5/20/2018,01:09:17,1,MAD,Misc Stat > Offensive Rebound > Gustavo Ayon,GUSTAVO AYON,Fenerbahce Dogus Istanbul,2,Real Madrid,0,AHMET DUVERIOGLU/BRAD WANAMAKER/JAN VESELY/MARKO GUDURIC/NIKOLA KALINIC,FABIEN CAUSEUR/FACUNDO CAMPAZZO/FELIPE REYES/GUSTAVO AYON/LUKA DONCIC
