DATE,GAME_ID,HOME_TEAM_ROUND,AWAY_TEAM_ROUND,PERIOD,POSSESSION_ID,TEAM_ON_OFFENSE,TEAM_ON_DEFENSE,OFFENSE_LINEUP,DEFENSE_LINEUP,AWAY_TEAM,AWAY_SCORE,HOME_TEAM,HOME_SCORE,AWAY_LINEUP,HOME_LINEUP,PRIMARY_PLAY,PICK_ROLL_BALL_HANDLER,PICK_ROLL_MAN,ISOLATION,POST_UP,SPOT_UP,OFF_SCREEN,HAND_OFF,TRANSITION,CUT,OFFENSIVE_REBOUND,OFF_THE_BALL,POINTS_SCORED,MADE2,MISS2,MADE3,MISS3,MADE_FT,MISS_FT,OFF_REB,DEF_REB,TOV,FOUL,LENGTH_OF_POSSESSION,3PT_IN_POSS,FT_IN_POSS,FGM,FGA
2018-04-24,1,1.0,1.0,1,1.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,0,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,2.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,0.0,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,1,0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1,0,1.0,2.0
2018-04-24,1,1.0,1.0,1,3.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,2,126/127/129/132/134,148/150/151/152/154,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,4.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,2.0,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,5.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,2,126/127/129/132/134,148/150/151/152/154,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,6.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,2.0,126/127/129/132/134,148/150/151/152/154,7,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,7.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,0.0,Baskonia Vitoria Gasteiz,2,126/127/129/132/134,148/150/151/152/154,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,8.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,3.0,Baskonia Vitoria Gasteiz,2.0,126/127/129/132/134,148/150/151/152/154,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,9.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,3.0,Baskonia Vitoria Gasteiz,2,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,10.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,3.0,Baskonia Vitoria Gasteiz,2.0,126/127/129/132/134,148/150/151/152/154,0,0,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,11.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,3.0,Baskonia Vitoria Gasteiz,5,126/127/129/132/134,148/150/151/152/154,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,12.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,6.0,Baskonia Vitoria Gasteiz,5.0,126/127/129/132/134,148/150/151/152/154,2,0,1,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,13.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,6.0,Baskonia Vitoria Gasteiz,8,126/127/129/132/134,148/150/151/152/154,1,1,0,0,0,0,0,0,0,0,1,0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,29.0,0,1,1.0,2.0
2018-04-24,1,1.0,1.0,1,14.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,8.0,Baskonia Vitoria Gasteiz,8.0,126/127/129/132/134,148/150/151/152/154,8,0,0,0,0,1,0,0,0,1,1,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0,0,1.0,3.0
2018-04-24,1,1.0,1.0,1,15.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,8.0,Baskonia Vitoria Gasteiz,10,126/127/129/132/134,148/150/151/152/154,3,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,0,0,0.0,2.0
2018-04-24,1,1.0,1.0,1,16.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,8.0,Baskonia Vitoria Gasteiz,10.0,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,17.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,8.0,Baskonia Vitoria Gasteiz,13,126/127/129/132/134,148/150/151/152/154,0,0,0,0,1,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,18.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,10.0,Baskonia Vitoria Gasteiz,13.0,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,19.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,10.0,Baskonia Vitoria Gasteiz,16,126/127/129/132/134,148/150/151/152/154,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,20.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,148/150/151/152/154,126/127/129/132/134,Fenerbahce Dogus Istanbul,10.0,Baskonia Vitoria Gasteiz,16.0,126/127/129/132/134,148/150/151/152/154,9,0,0,1,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,21.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,126/127/129/132/134,148/150/151/152/154,Fenerbahce Dogus Istanbul,10.0,Baskonia Vitoria Gasteiz,18,126/127/129/132/134,148/150/151/152/154,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0,0,0.0,0.0
2018-04-24,1,1.0,1.0,1,22.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,150/151/152/153/154,127/128/129/130/134,Fenerbahce Dogus Istanbul,10.0,Baskonia Vitoria Gasteiz,18.0,127/128/129/130/134,150/151/152/153/154,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,23.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,127/128/129/130/131,150/152/153/154/156,Fenerbahce Dogus Istanbul,10.0,Baskonia Vitoria Gasteiz,18,127/128/129/130/131,150/152/153/154/156,0,0,1,0,0,0,0,0,1,0,0,0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,19.0,1,1,1.0,1.0
2018-04-24,1,1.0,1.0,1,24.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,150/152/153/154/156,127/128/129/130/131,Fenerbahce Dogus Istanbul,15.0,Baskonia Vitoria Gasteiz,18.0,127/128/129/130/131,150/152/153/154/156,9,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,25.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,127/128/129/130/131,150/152/153/154/156,Fenerbahce Dogus Istanbul,15.0,Baskonia Vitoria Gasteiz,18,127/128/129/130/131,150/152/153/154/156,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,26.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,150/152/154/155/156,127/128/129/130/131,Fenerbahce Dogus Istanbul,18.0,Baskonia Vitoria Gasteiz,18.0,127/128/129/130/131,150/152/154/155/156,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0,0,0.0,0.0
2018-04-24,1,1.0,1.0,1,27.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,127/128/129/130/131,147/153/154/155/156,Fenerbahce Dogus Istanbul,18.0,Baskonia Vitoria Gasteiz,18,127/128/129/130/131,147/153/154/155/156,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,1,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,28.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,147/153/154/155/156,127/128/129/130/131,Fenerbahce Dogus Istanbul,18.0,Baskonia Vitoria Gasteiz,18.0,127/128/129/130/131,147/153/154/155/156,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,29.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,127/128/129/130/131,147/153/154/155/156,Fenerbahce Dogus Istanbul,18.0,Baskonia Vitoria Gasteiz,18,127/128/129/130/131,147/153/154/155/156,8,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0,0,0.0,1.0
2018-04-24,1,1.0,1.0,1,30.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,147/153/155/156/157,125/128/130/131/135,Fenerbahce Dogus Istanbul,18.0,Baskonia Vitoria Gasteiz,18.0,125/128/130/131/135,147/153/155/156/157,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0,1,0.0,0.0
2018-04-24,1,1.0,1.0,1,31.0,Fenerbahce Dogus Istanbul,Baskonia Vitoria Gasteiz,125/128/130/131/135,147/153/155/156/157,Fenerbahce Dogus Istanbul,18.0,Baskonia Vitoria Gasteiz,19,125/128/130/131/135,147/153/155/156/157,8,0,0,0,0,0,0,0,0,1,0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,1.0,1.0
2018-04-24,1,1.0,1.0,1,32.0,Baskonia Vitoria Gasteiz,Fenerbahce Dogus Istanbul,147/153/155/156/157,125/128/130/131/135,Fenerbahce Dogus Istanbul,20.0,Baskonia Vitoria Gasteiz,19.0,125/128/130/131/135,147/153/155/156/157,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,1,0,0.0,1.0
