,TEAM,NAME
100,Bnei Rav-Bariach Herzliya,BRANDON TRICHE
101,Bnei Rav-Bariach Herzliya,JEFF ADRIEN
102,Bnei Rav-Bariach Herzliya,JONATHAN MOR
103,Bnei Rav-Bariach Herzliya,SHAWN DAWSON
104,Bnei Rav-Bariach Herzliya,TAUREAN GREEN
105,Bnei Rav-Bariach Herzliya,DOMINIQUE ARCHIE
106,Bnei Rav-Bariach Herzliya,AVIRAM ZELKOVITS
107,Bnei Rav-Bariach Herzliya,TOM MAAYAN
108,Bnei Rav-Bariach Herzliya,SAM SINGER
109,Bnei Rav-Bariach Herzliya,TIM KEMPTON
110,Hapoel Fattal Eilat,AMIT SIMHON
111,Hapoel Fattal Eilat,DEMETRIUS TREADWELL
112,Hapoel Fattal Eilat,FREDERIC BOURDILLON
113,Hapoel Fattal Eilat,ISAAC ROSEFELT
114,Hapoel Fattal Eilat,JORDAN LOYD
115,Hapoel Fattal Eilat,ERIC GRIFFIN
116,Hapoel Fattal Eilat,NIV BERKOWITZ
117,Hapoel Fattal Eilat,AFIK NISSIM
118,Hapoel Fattal Eilat,AMIT BIER-KATZ
119,Hapoel Fattal Eilat,ROY INDIK
120,Hapoel Fattal Eilat,ITAY SHRIKI
121,Ironi Nahariya,ALEX YOUNG
122,Ironi Nahariya,ANTHONY BARBER
123,Ironi Nahariya,IFTACH ZIV
124,Ironi Nahariya,JONATHAN SKJOLDEBRAND
125,Ironi Nahariya,TYRONE NASH
126,Ironi Nahariya,STU DOUGLASS
127,Ironi Nahariya,IGOR NESTERENKO
128,Ironi Nahariya,ZIV BEN-ZVI
129,Maccabi Hunter Haifa,DANIEL KOPERBERG
130,Maccabi Hunter Haifa,ODED BRANDWEIN
131,Maccabi Hunter Haifa,OZ BLAYZER
132,Maccabi Hunter Haifa,TREVOR GASKINS
133,Maccabi Hunter Haifa,WILLY WORKMAN
134,Maccabi Hunter Haifa,ROMAN SORKIN
135,Maccabi Hunter Haifa,ROI HUBER
136,Maccabi Hunter Haifa,DAGAN YIVZORI
137,Maccabi Hunter Haifa,BRANDON BOWMAN
138,Maccabi Hunter Haifa,TRASHON BURRELL
139,Maccabi ILAND.TV Rishon Lezion,AVI BEN-CHIMOL
140,Maccabi ILAND.TV Rishon Lezion,DREW CRAWFORD
141,Maccabi ILAND.TV Rishon Lezion,KEITH LANGFORD
142,Maccabi ILAND.TV Rishon Lezion,MURPHY HOLLOWAY
143,Maccabi ILAND.TV Rishon Lezion,NIZAN HANOCHI
144,Maccabi ILAND.TV Rishon Lezion,IDAN ZALMANSON
145,Maccabi ILAND.TV Rishon Lezion,MARK TOLLEFSEN
146,Maccabi ILAND.TV Rishon Lezion,YANIV SOLOMON
147,Maccabi ILAND.TV Rishon Lezion,EYAL SHULMAN
148,Ironi Hai Motors Nes Ziona,GARY BROWN
149,Ironi Hai Motors Nes Ziona,GOLAN GOTT
150,Ironi Hai Motors Nes Ziona,KHALIF WYATT
151,Ironi Hai Motors Nes Ziona,TAL DAN
152,Ironi Hai Motors Nes Ziona,TALIB ZANNA
153,Ironi Hai Motors Nes Ziona,DAEQUAN COOK
154,Ironi Hai Motors Nes Ziona,ELISHAY KADIR
155,Ironi Hai Motors Nes Ziona,ELAD HOFMAN
156,Ironi Hai Motors Nes Ziona,RAVIV PITSHON
157,Ironi Hai Motors Nes Ziona,IDO SHABAT
158,Hapoel Unet Holon,GUY PNINI
159,Hapoel Unet Holon,JORDAN HAMILTON
160,Hapoel Unet Holon,TAMIR BLATT
161,Hapoel Unet Holon,TASHAWN THOMAS
162,Hapoel Unet Holon,TU HOLLOWAY
163,Hapoel Unet Holon,JOE ALEXANDER
164,Hapoel Unet Holon,SHLOMI HARUSH
165,Hapoel Unet Holon,T.J. CLINE
166,Hapoel Unet Holon,CHANAN COLMAN
167,Hapoel Unet Holon,HAROL DADON
168,Hapoel Unet Holon,TOM SAPIR
169,Hapoel Gilboa Galil,BEN ALTIT
170,Hapoel Gilboa Galil,ELIJAH JOHNSON
171,Hapoel Gilboa Galil,JOAQUIN SHUCHMAN
172,Hapoel Gilboa Galil,SPENCER WEISZ
173,Hapoel Gilboa Galil,ZACH LEDAY
174,Hapoel Gilboa Galil,TAL KARPLES
175,Hapoel Gilboa Galil,JACOREY WILLIAMS
176,Hapoel Gilboa Galil,SEAN LABANOWSKI
177,Hapoel Gilboa Galil,AMIT REUVEN
178,Hapoel Gilboa Galil,AVIEL LEVI
179,Hapoel Jerusalem,BAR TIMOR
180,Hapoel Jerusalem,JEROME DYSON
181,Hapoel Jerusalem,LIOR ELIYAHU
182,Hapoel Jerusalem,RONALD ROBERTS
183,Hapoel Jerusalem,TARENCE KINSEY
184,Hapoel Jerusalem,RICHARD HOWELL
185,Hapoel Jerusalem,KALIN LUCAS
186,Hapoel Jerusalem,YOTAM HALPERIN
187,Hapoel SP Tel Aviv,JERREL MCNEAL
188,Hapoel SP Tel Aviv,MATT HOWARD
189,Hapoel SP Tel Aviv,RAFI MENCO
190,Hapoel SP Tel Aviv,RAVIV LIMONAD
191,Hapoel SP Tel Aviv,TONY GAFFNEY
192,Hapoel SP Tel Aviv,TOMER GINAT
193,Hapoel SP Tel Aviv,ADRIAN BANKS
194,Hapoel SP Tel Aviv,TYWAIN MCKEE
195,Hapoel SP Tel Aviv,DANIEL AIDAN
196,Hapoel SP Tel Aviv,SHAHAR AMIR
197,Maccabi Ashdod/Be'er Tuvia,ALEXEY CHUBREVICH
198,Maccabi Ashdod/Be'er Tuvia,CAMERON LONG
199,Maccabi Ashdod/Be'er Tuvia,GERALD LEE
200,Maccabi Ashdod/Be'er Tuvia,SEK HENRY
201,Maccabi Ashdod/Be'er Tuvia,TRAVIS WARECH
202,Maccabi Ashdod/Be'er Tuvia,ADAM ARIEL
203,Maccabi Ashdod/Be'er Tuvia,BEN MCCAULEY
204,Maccabi Ashdod/Be'er Tuvia,NIMROD LEVI
205,Maccabi Ashdod/Be'er Tuvia,ADAM HONIG
206,Maccabi Ashdod/Be'er Tuvia,NETANEL ARTZI
207,Maccabi Fox Tel Aviv,ALEX TYUS
208,Maccabi Fox Tel Aviv,JEREMY PARGO
209,Maccabi Fox Tel Aviv,JOHN DIBARTOLOMEO
210,Maccabi Fox Tel Aviv,JONAH BOLDEN
