,TEAM,NAME
100,Boston Celtics,ABDEL NADER
101,Boston Celtics,ARON BAYNES
102,Boston Celtics,GUERSCHON YABUSELE
103,Boston Celtics,JABARI BIRD
104,Boston Celtics,SHANE LARKIN
105,Boston Celtics,SEMI OJELEYE
106,Boston Celtics,JONATHAN GIBSON
107,Boston Celtics,KADEEM ALLEN
108,Boston Celtics,GREG MONROE
109,Utah Jazz,DERRICK FAVORS
110,Utah Jazz,DONOVAN MITCHELL
111,Utah Jazz,JOE INGLES
112,Utah Jazz,RICKY RUBIO
113,Utah Jazz,RUDY GOBERT
114,Utah Jazz,JAE CROWDER
115,Utah Jazz,DANTE EXUM
116,Utah Jazz,ROYCE ONEALE
117,Utah Jazz,JONAS JEREBKO
118,Utah Jazz,EKPE UDOH
119,Utah Jazz,ALEC BURKS
120,Utah Jazz,GEORGES NIANG
121,Utah Jazz,RAUL NETO
122,Brooklyn Nets,ALLEN CRABBE
123,Brooklyn Nets,DANGELO RUSSELL
124,Brooklyn Nets,JARRETT ALLEN
125,Brooklyn Nets,RONDAE HOLLIS-JEFFERSON
126,Brooklyn Nets,SPENCER DINWIDDIE
127,Brooklyn Nets,QUINCY ACY
128,Brooklyn Nets,NIK STAUSKAS
129,Brooklyn Nets,DANTE CUNNINGHAM
130,Brooklyn Nets,MILTON DOYLE
131,Phoenix Suns,ALEX LEN
132,Phoenix Suns,DANUEL HOUSE
133,Phoenix Suns,DRAGAN BENDER
134,Phoenix Suns,TROY DANIELS
135,Phoenix Suns,TYLER ULIS
136,Phoenix Suns,ALEC PETERS
137,Phoenix Suns,SHAQUILLE HARRISON
138,Phoenix Suns,JARED DUDLEY
139,Phoenix Suns,DAVON REED
140,Golden State Warriors,DRAYMOND GREEN
141,Golden State Warriors,KEVIN DURANT
142,Golden State Warriors,KEVON LOONEY
143,Golden State Warriors,KLAY THOMPSON
144,Golden State Warriors,QUINN COOK
145,Golden State Warriors,JORDAN BELL
146,Golden State Warriors,NICK YOUNG
147,Golden State Warriors,ANDRE IGUODALA
148,Golden State Warriors,DAVID WEST
149,Golden State Warriors,DAMIAN JONES
150,Chicago Bulls,BOBBY PORTIS
151,Chicago Bulls,CAMERON PAYNE
152,Chicago Bulls,CRISTIANO FELICIO
153,Chicago Bulls,DAVID NWABA
154,Chicago Bulls,JUSTIN HOLIDAY
155,Chicago Bulls,SEAN KILPATRICK
156,Chicago Bulls,JERIAN GRANT
157,Chicago Bulls,OMER ASIK
158,Chicago Bulls,RYAN ARCIDIACONO
159,Milwaukee Bucks,ERIC BLEDSOE
160,Milwaukee Bucks,GIANNIS ANTETOKOUNMPO
161,Milwaukee Bucks,JOHN HENSON
162,Milwaukee Bucks,KHRIS MIDDLETON
163,Milwaukee Bucks,TONY SNELL
164,Milwaukee Bucks,JABARI PARKER
165,Milwaukee Bucks,TYLER ZELLER
166,Milwaukee Bucks,JASON TERRY
167,Milwaukee Bucks,SHABAZZ MUHAMMAD
168,Milwaukee Bucks,STERLING BROWN
169,Indiana Pacers,BOJAN BOGDANOVIC
170,Indiana Pacers,DARREN COLLISON
171,Indiana Pacers,MYLES TURNER
172,Indiana Pacers,THADDEUS YOUNG
173,Indiana Pacers,VICTOR OLADIPO
174,Indiana Pacers,DOMANTAS SABONIS
175,Indiana Pacers,LANCE STEPHENSON
176,Indiana Pacers,CORY JOSEPH
177,Indiana Pacers,TREVOR BOOKER
178,Indiana Pacers,GLENN ROBINSON III
179,Indiana Pacers,JOE YOUNG
180,Oklahoma City Thunder,CARMELO ANTHONY
181,Oklahoma City Thunder,COREY BREWER
182,Oklahoma City Thunder,PAUL GEORGE
